,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,origin_balance_change,destination_balance_change,isFlaggedFraud,isFraud
step,1.0,0.08315552804975102,0.0054799064592019435,-0.018799050156954017,0.016586120766124743,0.0229506805192105,0.10640755014321751,0.030519068177967186,0.019556238040890468,0.18107274962203346
amount,0.08315552804975102,1.0,0.165514372142863,0.010472753316009626,0.20253444434896914,0.3797908987459572,0.6889316694401277,0.7646447337849548,0.05925040832964544,0.3300727292364287
oldbalanceOrg,0.0054799064592019435,0.165514372142863,1.0,0.974336077026217,0.054316732352552195,0.04759631830243855,0.18430582639501905,-0.008597189517987432,0.02904042310523364,0.06758244861638085
newbalanceOrig,-0.018799050156954017,0.010472753316009626,0.974336077026217,1.0,0.06152593875935838,0.03445451324852925,-0.04166623485271301,-0.08636641888446507,0.029709616214650254,-0.04899746609508896
oldbalanceDest,0.016586120766124743,0.20253444434896914,0.054316732352552195,0.06152593875935838,1.0,0.9686249787337307,-0.02755406758815589,0.2053935812218678,-0.003071879576786694,-0.03230434504600111
newbalanceDest,0.0229506805192105,0.3797908987459572,0.04759631830243855,0.03445451324852925,0.9686249787337307,1.0,0.060821066642230394,0.4421775845851102,-0.003234274803876635,0.006902960285424129
origin_balance_change,0.10640755014321751,0.6889316694401277,0.18430582639501905,-0.04166623485271301,-0.02755406758815589,0.060821066642230394,1.0,0.3389504684658429,-0.000823885490499246,0.5139171976198998
destination_balance_change,0.030519068177967186,0.7646447337849548,-0.008597189517987432,-0.08636641888446507,0.2053935812218678,0.4421775845851102,0.3389504684658429,1.0,-0.0016499817902526242,0.14376887492392207
isFlaggedFraud,0.019556238040890468,0.05925040832964544,0.02904042310523364,0.029709616214650254,-0.003071879576786694,-0.003234274803876635,-0.000823885490499246,-0.0016499817902526242,1.0,0.04359116904835062
isFraud,0.18107274962203346,0.3300727292364287,0.06758244861638085,-0.04899746609508896,-0.03230434504600111,0.006902960285424129,0.5139171976198998,0.14376887492392207,0.04359116904835062,1.0
