step,total_transactions,fraud_transactions,fraud_rate_percent
1,53,7,13.20754716981132
2,16,4,25.0
3,11,3,27.27272727272727
4,17,6,35.294117647058826
5,14,3,21.428571428571427
6,46,16,34.78260869565217
7,117,8,6.837606837606838
8,318,10,3.1446540880503147
9,592,16,2.7027027027027026
10,526,7,1.3307984790874523
11,555,5,0.9009009009009009
12,548,7,1.2773722627737227
13,590,7,1.1864406779661016
14,689,5,0.7256894049346879
15,684,18,2.631578947368421
16,625,8,1.28
17,668,3,0.4491017964071856
18,768,11,1.4322916666666665
19,764,7,0.9162303664921465
20,619,3,0.48465266558966075
21,284,2,0.7042253521126761
22,208,12,5.769230769230769
23,78,2,2.564102564102564
24,56,5,8.928571428571429
25,29,9,31.03448275862069
26,18,11,61.111111111111114
27,5,5,100.0
28,2,2,100.0
29,2,2,100.0
30,6,6,100.0
31,9,9,100.0
32,7,7,100.0
33,356,9,2.528089887640449
34,474,10,2.109704641350211
35,460,7,1.5217391304347827
36,616,9,1.461038961038961
37,501,9,1.7964071856287425
38,507,12,2.366863905325444
39,371,8,2.15633423180593
40,505,8,1.5841584158415842
41,549,7,1.2750455373406193
42,604,12,1.9867549668874174
43,672,9,1.3392857142857142
44,551,4,0.7259528130671506
45,275,7,2.5454545454545454
46,175,7,4.0
47,163,14,8.588957055214724
48,89,6,6.741573033707865
49,16,1,6.25
50,5,5,100.0
51,7,7,100.0
52,5,5,100.0
53,7,7,100.0
54,3,3,100.0
55,5,5,100.0
56,13,13,100.0
57,4,4,100.0
58,14,14,100.0
59,12,12,100.0
60,6,6,100.0
61,7,7,100.0
62,5,5,100.0
63,6,6,100.0
64,13,13,100.0
65,9,9,100.0
66,16,16,100.0
67,5,5,100.0
68,7,7,100.0
69,13,13,100.0
70,1,1,100.0
71,13,13,100.0
72,8,8,100.0
73,4,4,100.0
74,10,10,100.0
75,5,5,100.0
76,3,3,100.0
77,4,4,100.0
78,6,6,100.0
79,4,4,100.0
80,5,5,100.0
81,7,7,100.0
82,3,3,100.0
83,9,9,100.0
84,7,7,100.0
