feature,min,max,mean,std
step,1.0,743.0,249.80516,149.8299188660939
amount,0.0,69886731.3,247118.38931019997,881712.5264292054
log_amount,0.0,18.06238637945971,10.941315755934538,1.880814418855917
oldbalanceOrg,0.0,57316255.05,858253.6581170999,2872979.1659768657
oldbalanceDest,0.0,236230516.82,1071770.1762011999,3489163.8851602203
amount_to_origin_balance_ratio,0.0,69886731.3,68103.28406286296,537119.0733622515
amount_to_destination_balance_ratio,0.0,10000000.0,75110.1810587293,544418.8833582564
origin_balance_zero,0.0,1.0,0.31518,0.4645898471095342
destination_balance_zero,0.0,1.0,0.43659,0.4959653533426676
origin_balance_sufficient,0.0,1.0,0.38835,0.48737732083728375
step_day,1.0,31.0,10.76564,6.240832065538113
