feature,importance,absolute_importance
origin_balance_sufficient,13.581638949980208,13.581638949980208
origin_balance_zero,10.458562237633235,10.458562237633235
step_day,7.656497591426494,7.656497591426494
step,-7.344733362582489,7.344733362582489
type_PAYMENT,-6.226422530732838,6.226422530732838
type_CASH_IN,-4.866420025994712,4.866420025994712
type_TRANSFER,4.057383633448142,4.057383633448142
type_CASH_OUT,3.3331935667368935,3.3331935667368935
amount,2.099805248089685,2.099805248089685
amount_to_origin_balance_ratio,-1.8251221429464481,1.8251221429464481
type_DEBIT,-1.6945069348818416,1.6945069348818416
oldbalanceOrg,-1.5103122344607653,1.5103122344607653
destination_balance_zero,0.7869110171449804,0.7869110171449804
log_amount,0.48450124937358907,0.48450124937358907
oldbalanceDest,-0.1781276361234886,0.1781276361234886
amount_to_destination_balance_ratio,0.11483421442180596,0.11483421442180596
