feature,importance,absolute_importance
origin_balance_sufficient,0.2624646837278839,0.2624646837278839
oldbalanceOrg,0.10613022666465372,0.10613022666465372
type_PAYMENT,0.09205774914100853,0.09205774914100853
type_CASH_IN,0.08027172766900999,0.08027172766900999
amount_to_destination_balance_ratio,0.0775531386611465,0.0775531386611465
amount_to_origin_balance_ratio,0.0770510837734858,0.0770510837734858
type_CASH_OUT,0.07286353540636462,0.07286353540636462
log_amount,0.05977512993827896,0.05977512993827896
amount,0.05865422708479144,0.05865422708479144
type_TRANSFER,0.045006217137216635,0.045006217137216635
step,0.020460698810662124,0.020460698810662124
step_day,0.01924528642926592,0.01924528642926592
oldbalanceDest,0.012040255916578452,0.012040255916578452
destination_balance_zero,0.009504956309462685,0.009504956309462685
origin_balance_zero,0.005666877491554254,0.005666877491554254
type_DEBIT,0.0012542058386365766,0.0012542058386365766
