feature,importance,absolute_importance
origin_balance_sufficient,0.6158944,0.6158944
amount_to_origin_balance_ratio,0.25649142,0.25649142
type_CASH_IN,0.031668987,0.031668987
amount_to_destination_balance_ratio,0.023286236,0.023286236
oldbalanceOrg,0.013177265,0.013177265
amount,0.013109062,0.013109062
type_PAYMENT,0.012122509,0.012122509
origin_balance_zero,0.006448427,0.006448427
type_TRANSFER,0.005535624,0.005535624
type_DEBIT,0.0054884204,0.0054884204
oldbalanceDest,0.0040856674,0.0040856674
type_CASH_OUT,0.003974258,0.003974258
log_amount,0.002869143,0.002869143
destination_balance_zero,0.0025334298,0.0025334298
step,0.002365683,0.002365683
step_day,0.0009495334,0.0009495334
