Threshold,Precision,Recall,F1,False Positive Rate,False Negative Rate,FP,FN,TP,TN
0.1,0.9764474975466143,0.995,0.9856364536899456,0.0012631578947368421,0.005,24,5,995,18976
0.15,0.9831849653808111,0.994,0.9885629040278469,0.0008947368421052632,0.006,17,6,994,18983
0.2,0.9900398406374502,0.994,0.9920159680638723,0.0005263157894736842,0.006,10,6,994,18990
0.25,0.9900398406374502,0.994,0.9920159680638723,0.0005263157894736842,0.006,10,6,994,18990
0.3,0.9910269192422732,0.994,0.9925112331502746,0.00047368421052631577,0.006,9,6,994,18991
0.35,0.9920159680638723,0.994,0.993006993006993,0.0004210526315789474,0.006,8,6,994,18992
0.4,0.994,0.994,0.994,0.00031578947368421053,0.006,6,6,994,18994
0.45,0.994994994994995,0.994,0.9944972486243121,0.0002631578947368421,0.006,5,6,994,18995
0.5,0.994994994994995,0.994,0.9944972486243121,0.0002631578947368421,0.006,5,6,994,18995
0.55,0.994994994994995,0.994,0.9944972486243121,0.0002631578947368421,0.006,5,6,994,18995
0.6,0.994994994994995,0.994,0.9944972486243121,0.0002631578947368421,0.006,5,6,994,18995
0.65,0.9969909729187563,0.994,0.9954932398597897,0.00015789473684210527,0.006,3,6,994,18997
0.7,0.9969909729187563,0.994,0.9954932398597897,0.00015789473684210527,0.006,3,6,994,18997
0.75,0.9969909729187563,0.994,0.9954932398597897,0.00015789473684210527,0.006,3,6,994,18997
0.8,0.9979919678714859,0.994,0.9959919839679359,0.00010526315789473685,0.006,2,6,994,18998
0.85,0.9979919678714859,0.994,0.9959919839679359,0.00010526315789473685,0.006,2,6,994,18998
0.9,0.9989949748743718,0.994,0.9964912280701754,5.2631578947368424e-05,0.006,1,6,994,18999
